Id,SalePrice
1461,119576.62
1462,155739.72
1463,185421.98
1464,186972.19
1465,186570.7
1466,171810.7
1467,168653.62
1468,156808.0
1469,172330.23
1470,127854.32
1471,197885.69
1472,96722.75
1473,98570.086
1474,158448.36
1475,107941.766
1476,353012.47
1477,237327.62
1478,283421.56
1479,300737.53
1480,529461.1
1481,313036.28
1482,185941.02
1483,180574.94
1484,162106.6
1485,173878.25
1486,196194.47
1487,327218.72
1488,243045.86
1489,193784.12
1490,238356.95
1491,192769.06
1492,86229.69
1493,171512.1
1494,300282.72
1495,302475.4
1496,243282.64
1497,191671.0
1498,160243.95
1499,156831.03
1500,156831.03
1501,183650.5
1502,135593.08
1503,274424.25
1504,227996.4
1505,239792.22
1506,194923.48
1507,261781.27
1508,223769.56
1509,166462.2
1510,154450.39
1511,157899.12
1512,189579.1
1513,147636.81
1514,146341.83
1515,227317.28
1516,156727.42
1517,149859.4
1518,154370.88
1519,221849.11
1520,136485.67
1521,139316.8
1522,193829.6
1523,109088.625
1524,121331.414
1525,123977.95
1526,122161.81
1527,105284.32
1528,123282.09
1529,150642.92
1530,161437.8
1531,126556.16
1532,105930.71
1533,149124.75
1534,115541.47
1535,163758.95
1536,106659.88
1537,96191.42
1538,130882.08
1539,177601.67
1540,85598.625
1541,143405.69
1542,138942.1
1543,195374.61
1544,82157.01
1545,104788.07
1546,133209.19
1547,128241.555
1548,124911.14
1549,114300.94
1550,153481.58
1551,126389.71
1552,169620.47
1553,169581.17
1554,105427.6
1555,172170.23
1556,84900.49
1557,112207.15
1558,94533.07
1559,85065.02
1560,155830.5
1561,144975.92
1562,126573.055
1563,122962.83
1564,150928.8
1565,162757.67
1566,215320.62
1567,77282.86
1568,236585.97
1569,134528.25
1570,129388.086
1571,130439.34
1572,141849.61
1573,238607.14
1574,112019.82
1575,224395.28
1576,259496.7
1577,182347.88
1578,156924.84
1579,146006.14
1580,177761.97
1581,143262.97
1582,132081.95
1583,335730.4
1584,232840.06
1585,146373.92
1586,68979.47
1587,100569.94
1588,140499.36
1589,103403.12
1590,129092.52
1591,106531.28
1592,112973.805
1593,130965.61
1594,121900.43
1595,138569.06
1596,234781.55
1597,171442.42
1598,193296.3
1599,154827.78
1600,166071.34
1601,82327.28
1602,118196.234
1603,79333.27
1604,261413.78
1605,245600.75
1606,172299.19
1607,170695.39
1608,206704.61
1609,185782.55
1610,144773.92
1611,138964.36
1612,179860.47
1613,160407.11
1614,122794.195
1615,89154.14
1616,82919.76
1617,92602.914
1618,121710.84
1619,138608.98
1620,193851.22
1621,143159.58
1622,140683.72
1623,284289.72
1624,251955.02
1625,126189.414
1626,174677.52
1627,186212.53
1628,256438.73
1629,176441.53
1630,357460.25
1631,181239.84
1632,233556.84
1633,155472.16
1634,192523.42
1635,178271.28
1636,161242.53
1637,209830.83
1638,184829.48
1639,190408.23
1640,252403.55
1641,187829.33
1642,233815.38
1643,219198.4
1644,217692.0
1645,196677.98
1646,159608.88
1647,154619.58
1648,142986.7
1649,130933.516
1650,120771.74
1651,122288.75
1652,99310.32
1653,96513.586
1654,156157.64
1655,135090.86
1656,152173.2
1657,156157.64
1658,162864.03
1659,113166.72
1660,167654.88
1661,504801.1
1662,409565.44
1663,391690.25
